16887,479327,0
16920,479327,0
16898,451134,3
16922,384494,3
16887,384494,3
16887,413351,0
16863,413351,0
16863,334349,3
58158,360329,1
58158,465881,1
16863,465881,1
16890,5860,3
16913,5860,1
16922,14187,0
58158,2265,1
16918,2265,1
16887,386168,2
16913,49249,0
16922,36731,2
16863,438785,3
58158,4601,1
16918,479328,0
16918,355848,0
58158,355848,0
16918,6384,3
16908,374870,0
16920,374870,0
58158,62132,3
16908,62132,3
16918,1235,0
16918,231560,3
16908,231560,3
16908,223789,0
16913,42038,0
16920,2266,0
16898,2266,0
16908,6869,0
16920,36786,0
16908,36786,0
16863,36786,0
16890,36786,0
16887,36245,0
16920,3877,2
16908,167687,3
16890,167687,3
16918,152427,0
16922,337946,1
16908,337946,3
16887,434443,1
16918,446275,3
16908,24410,0
16898,408561,2
16913,78754,0
58158,78754,0
16863,27502,0
16890,27502,0
16863,156927,0
16922,156927,0
16908,156927,0
16913,156927,0
16863,690,0
16898,690,0
16918,690,0
16890,690,0
16890,330414,0
16918,330414,0
16913,166888,3
16920,5947,1
16863,5947,3
16887,447459,1
16922,518,1
16918,366349,3
16918,441044,2
16922,112328,3
16920,2771,0
16918,2771,0
16863,2771,0
16922,367175,0
16920,34330,0
16913,34330,0
16913,490,0
16918,490,0
58158,385463,1
16887,231350,0
58158,485612,3
16913,485612,2
16918,485612,3
58158,989,0
16913,989,0
16908,261103,3
16887,31612,0
16920,31612,0
16920,53067,0
16887,431166,1
16920,431166,1
16913,82164,0
16913,116288,0
16920,438550,0
16890,438550,0
16913,41303,2
16913,2513,3
16863,372108,1
16863,14118,1
16922,36098,1
16890,419760,3
16918,368418,0
16920,368418,0
58158,368418,0
16898,423235,2
16913,423235,2
16913,81834,2
16913,73287,1
16918,640,0
16898,376699,0
16918,376699,0
16863,47044,2
16913,102411,0
16918,426,2
58158,447134,3
16922,447134,1
16922,3,0
58158,36805,3
16887,1402,0
16920,1402,0
16890,1402,0
16908,275428,2
16920,275428,2
16863,251963,0
16913,269674,2
16922,416644,1
16890,416644,1
16890,414363,3
16913,452553,3
16908,6641,1
58158,416647,3
58158,247407,2
16908,475261,0
16918,475261,0
16887,5807,0
16920,5807,0
16863,5807,0
58158,392455,3
16920,392455,2
58158,39172,1
16908,262177,0
16920,262177,0
58158,450739,0
16913,476629,2
16918,5180,0
16887,5180,0
16908,5180,0
16898,318476,0
16887,38530,0
16890,466316,0
16898,42459,2
16887,401428,0
16863,1479,2
16890,416407,0
16887,92273,3
