storageid,placepointname,date,daily_costing
363,厦门鹭燕大药房寨上分店,2023-03-24,347878.08200399997
363,厦门鹭燕大药房寨上分店,2023-03-25,345616.44720399997
363,厦门鹭燕大药房寨上分店,2023-03-26,344102.80672899995
363,厦门鹭燕大药房寨上分店,2023-03-27,347236.664202
363,厦门鹭燕大药房寨上分店,2023-03-28,340929.768286
363,厦门鹭燕大药房寨上分店,2023-03-29,357570.56262
363,厦门鹭燕大药房寨上分店,2023-03-30,354799.96911
363,厦门鹭燕大药房寨上分店,2023-03-31,341276.37826
363,厦门鹭燕大药房寨上分店,2023-04-01,346608.57374499994
363,厦门鹭燕大药房寨上分店,2023-04-02,343158.331935
363,厦门鹭燕大药房寨上分店,2023-04-03,339203.79082
363,厦门鹭燕大药房寨上分店,2023-04-04,326428.528269
363,厦门鹭燕大药房寨上分店,2023-04-05,322804.36596900003
363,厦门鹭燕大药房寨上分店,2023-04-06,362635.418437
363,厦门鹭燕大药房寨上分店,2023-04-07,361204.537269
363,厦门鹭燕大药房寨上分店,2023-04-08,360530.59210300003
363,厦门鹭燕大药房寨上分店,2023-04-09,347566.199271
363,厦门鹭燕大药房寨上分店,2023-04-10,344864.51607500005
363,厦门鹭燕大药房寨上分店,2023-04-11,341826.572085
363,厦门鹭燕大药房寨上分店,2023-04-12,339807.51573
363,厦门鹭燕大药房寨上分店,2023-04-13,358354.802822
363,厦门鹭燕大药房寨上分店,2023-04-14,353514.81712200004
363,厦门鹭燕大药房寨上分店,2023-04-15,353102.418668
363,厦门鹭燕大药房寨上分店,2023-04-16,349373.751626
363,厦门鹭燕大药房寨上分店,2023-04-17,345977.062476
363,厦门鹭燕大药房寨上分店,2023-04-18,339217.08085
363,厦门鹭燕大药房寨上分店,2023-04-19,336243.71371499996
363,厦门鹭燕大药房寨上分店,2023-04-20,346486.884031
363,厦门鹭燕大药房寨上分店,2023-04-21,341021.948155
363,厦门鹭燕大药房寨上分店,2023-04-22,339690.48575500003
363,厦门鹭燕大药房寨上分店,2023-04-23,339698.39180700004
363,厦门鹭燕大药房寨上分店,2023-04-24,334974.465861
363,厦门鹭燕大药房寨上分店,2023-04-25,344730.887431
363,厦门鹭燕大药房寨上分店,2023-04-26,342578.841181
363,厦门鹭燕大药房寨上分店,2023-04-27,344859.987768
363,厦门鹭燕大药房寨上分店,2023-04-28,341656.38797299995
363,厦门鹭燕大药房寨上分店,2023-04-29,345845.98820799997
363,厦门鹭燕大药房寨上分店,2023-04-30,341508.95861800003
363,厦门鹭燕大药房寨上分店,2023-05-01,332058.657476
363,厦门鹭燕大药房寨上分店,2023-05-02,329203.257766
363,厦门鹭燕大药房寨上分店,2023-05-03,327097.84929100005
363,厦门鹭燕大药房寨上分店,2023-05-04,324436.80697599996
363,厦门鹭燕大药房寨上分店,2023-05-05,346839.523916
363,厦门鹭燕大药房寨上分店,2023-05-06,345796.082266
363,厦门鹭燕大药房寨上分店,2023-05-07,343159.86531799997
363,厦门鹭燕大药房寨上分店,2023-05-08,342968.140293
363,厦门鹭燕大药房寨上分店,2023-05-09,327743.366325
363,厦门鹭燕大药房寨上分店,2023-05-10,335853.846404
363,厦门鹭燕大药房寨上分店,2023-05-11,333885.870845
363,厦门鹭燕大药房寨上分店,2023-05-12,328841.457169
363,厦门鹭燕大药房寨上分店,2023-05-13,327304.573049
363,厦门鹭燕大药房寨上分店,2023-05-14,325783.819054
363,厦门鹭燕大药房寨上分店,2023-05-15,344935.081701
363,厦门鹭燕大药房寨上分店,2023-05-16,340121.607531
363,厦门鹭燕大药房寨上分店,2023-05-17,343887.085397
363,厦门鹭燕大药房寨上分店,2023-05-18,342106.51870300004
363,厦门鹭燕大药房寨上分店,2023-05-19,334993.74284099997
363,厦门鹭燕大药房寨上分店,2023-05-20,335320.261142
363,厦门鹭燕大药房寨上分店,2023-05-21,333088.052316
363,厦门鹭燕大药房寨上分店,2023-05-22,330355.988643
363,厦门鹭燕大药房寨上分店,2023-05-23,328663.24966
363,厦门鹭燕大药房寨上分店,2023-05-24,343469.311389
363,厦门鹭燕大药房寨上分店,2023-05-25,339954.541289
363,厦门鹭燕大药房寨上分店,2023-05-26,339567.37244099996
363,厦门鹭燕大药房寨上分店,2023-05-27,337537.82209100004
363,厦门鹭燕大药房寨上分店,2023-05-28,331869.89857099997
363,厦门鹭燕大药房寨上分店,2023-05-29,340500.296221
363,厦门鹭燕大药房寨上分店,2023-05-30,338315.49057
363,厦门鹭燕大药房寨上分店,2023-05-31,336660.38257
363,厦门鹭燕大药房寨上分店,2023-06-01,330865.91012
363,厦门鹭燕大药房寨上分店,2023-06-02,349665.50266199996
363,厦门鹭燕大药房寨上分店,2023-06-03,345460.91981600004
363,厦门鹭燕大药房寨上分店,2023-06-04,345496.06116599997
363,厦门鹭燕大药房寨上分店,2023-06-05,341132.55137400003
363,厦门鹭燕大药房寨上分店,2023-06-06,340080.51057399996
