"SEQID","CREDATE","GOODSID","PLACEPOINTID","XXSL"
"198875","2023/6/30 15:28:20","3","","1"
"198876","2023/6/30 15:29:38","4","","1"
"196193","","6","160172","2"
"188750","","6","192153","2"
"189813","","6","137916","2"
"195133","","6","34078","2"
"187642","2022/10/19 10:48:05","6","","2"
"190891","","6","66533","2"
"16200","2021/3/31 14:29:58","6","172511","1"
"15802","2021/3/31 14:29:58","6","157277","1"
"191951","","6","208438","2"
"15404","2021/3/31 14:29:58","6","137950","1"
"14210","2021/3/31 14:29:58","6","75477","2"
"13812","2021/3/31 14:29:58","6","75443","2"
"15006","2021/3/31 14:29:58","6","107636","2"
"14608","2021/3/31 14:29:58","6","78799","2"
"13016","2021/3/31 14:29:58","6","75378","2"
"12618","2021/3/31 14:29:58","6","63679","2"
"13414","2021/3/31 14:29:58","6","75442","2"
"12220","2021/3/31 14:29:58","6","40547","2"
"11822","2021/3/31 14:29:58","6","35344","2"
"193013","","6","66134","2"
"194073","","6","66052","2"
"196194","","13","160172","2"
"198435","2023/5/30 16:25:00","13","","2"
"188751","","13","192153","2"
"189814","","13","137916","2"
"195134","","13","34078","2"
"187409","2022/10/19 10:48:05","13","","1"
"190892","","13","66533","2"
"191952","","13","208438","2"
"193014","","13","66134","2"
"194074","","13","66052","2"
"196195","","45","160172","2"
"198722","2023/5/30 16:25:00","45","","2"
"188752","","45","192153","2"
"189815","","45","137916","2"
"195135","","45","34078","2"
"187521","2022/10/19 10:48:05","45","","1"
"190893","","45","66533","2"
"191953","","45","208438","2"
"193015","","45","66134","2"
"194075","","45","66052","2"
"198486","2023/5/30 16:25:00","68","","2"
"198877","2023/6/30 15:29:41","68","","2"
"16199","2021/3/31 14:29:58","68","172511","1"
"15801","2021/3/31 14:29:58","68","157277","1"
"15403","2021/3/31 14:29:58","68","137950","1"
"14209","2021/3/31 14:29:58","68","75477","2"
"13811","2021/3/31 14:29:58","68","75443","2"
"15005","2021/3/31 14:29:58","68","107636","2"
"14607","2021/3/31 14:29:58","68","78799","2"
"13015","2021/3/31 14:29:58","68","75378","2"
"12617","2021/3/31 14:29:58","68","63679","2"
"13413","2021/3/31 14:29:58","68","75442","2"
"12219","2021/3/31 14:29:58","68","40547","2"
"11821","2021/3/31 14:29:58","68","35344","2"
"196196","","69","160172","2"
"188753","","69","192153","2"
"189816","","69","137916","2"
"195136","","69","34078","2"
"190894","","69","66533","2"
"191954","","69","208438","2"
"193016","","69","66134","2"
"194076","","69","66052","2"
"198816","2023/5/30 16:25:00","114","","1"
"198609","2023/5/30 16:25:00","115","","2"
"187527","2022/10/19 10:48:05","115","","2"
"187643","2022/10/19 10:48:05","128","","2"
"196197","","158","160172","2"
"188754","","158","192153","2"
"189817","","158","137916","2"
"195137","","158","34078","2"
"190895","","158","66533","2"
"16198","2021/3/31 14:29:58","158","172511","1"
"15800","2021/3/31 14:29:58","158","157277","1"
"191955","","158","208438","2"
"15402","2021/3/31 14:29:58","158","137950","1"
"14208","2021/3/31 14:29:58","158","75477","2"
"13810","2021/3/31 14:29:58","158","75443","2"
"15004","2021/3/31 14:29:58","158","107636","2"
"14606","2021/3/31 14:29:58","158","78799","2"
"13014","2021/3/31 14:29:58","158","75378","2"
"12616","2021/3/31 14:29:58","158","63679","2"
"13412","2021/3/31 14:29:58","158","75442","2"
"12218","2021/3/31 14:29:58","158","40547","2"
"11820","2021/3/31 14:29:58","158","35344","2"
"193017","","158","66134","2"
"194077","","158","66052","2"
"198655","2023/5/30 16:25:00","182","","2"
"198089","","200","160172","2"
"189586","","200","192153","2"
"192789","","200","137916","2"
"195969","","200","34078","2"
"197027","","200","208438","2"
"191727","","200","66533","2"
"193849","","200","66134","2"
"194909","","200","66052","2"
"187644","2022/10/19 10:48:05","220","","2"
"16197","2021/3/31 14:29:58","230","172511","1"
"15799","2021/3/31 14:29:58","230","157277","1"
"15401","2021/3/31 14:29:58","230","137950","1"
"14207","2021/3/31 14:29:58","230","75477","2"
"13809","2021/3/31 14:29:58","230","75443","2"
"15003","2021/3/31 14:29:58","230","107636","2"
"14605","2021/3/31 14:29:58","230","78799","2"
"13013","2021/3/31 14:29:58","230","75378","2"
"12615","2021/3/31 14:29:58","230","63679","2"
"13411","2021/3/31 14:29:58","230","75442","2"
"12217","2021/3/31 14:29:58","230","40547","2"
"11819","2021/3/31 14:29:58","230","35344","2"
"196198","","248","160172","2"
"188755","","248","192153","2"
"189818","","248","137916","2"
"195138","","248","34078","2"
"190896","","248","66533","2"
"191956","","248","208438","2"
"193018","","248","66134","2"
"194078","","248","66052","2"
"15238","2021/3/31 14:29:58","284","137950","1"
"16034","2021/3/31 14:29:58","284","172511","1"
"15636","2021/3/31 14:29:58","284","157277","1"
"14044","2021/3/31 14:29:58","284","75477","2"
"13646","2021/3/31 14:29:58","284","75443","2"
"14840","2021/3/31 14:29:58","284","107636","2"
"14442","2021/3/31 14:29:58","284","78799","2"
"12054","2021/3/31 14:29:58","284","40547","2"
"12850","2021/3/31 14:29:58","284","75378","2"
"13248","2021/3/31 14:29:58","284","75442","2"
"12452","2021/3/31 14:29:58","284","63679","2"
"11656","2021/3/31 14:29:58","284","35344","2"
"196199","","312","160172","2"
"188756","","312","192153","2"
"189819","","312","137916","2"
"195139","","312","34078","2"
"190897","","312","66533","2"
"191957","","312","208438","2"
"193019","","312","66134","2"
"194079","","312","66052","2"
"196200","","324","160172","2"
"188757","","324","192153","2"
"189820","","324","137916","2"
"195140","","324","34078","2"
"187263","2022/10/19 10:48:05","324","","2"
"190898","","324","66533","2"
"191958","","324","208438","2"
"193020","","324","66134","2"
"194080","","324","66052","2"
"187645","2022/10/19 10:48:05","328","","2"
"196201","","332","160172","2"
"198610","2023/5/30 16:25:00","332","","2"
"188758","","332","192153","2"
"189821","","332","137916","2"
"195141","","332","34078","2"
"187568","2022/10/19 10:48:05","332","","2"
"190899","","332","66533","2"
"191959","","332","208438","2"
"193021","","332","66134","2"
"194081","","332","66052","2"
"198817","2023/5/30 16:25:00","357","","1"
"196202","","380","160172","2"
"198451","2023/5/30 16:25:00","380","","2"
"188759","","380","192153","2"
"189822","","380","137916","2"
"195142","","380","34078","2"
"191960","","380","208438","2"
"187647","2022/10/19 10:48:05","380","","2"
"190900","","380","66533","2"
"193022","","380","66134","2"
"194082","","380","66052","2"
"198330","2023/5/29 16:13:38","382","","2"
"15255","2021/3/31 14:29:58","382","137950","1"
"16051","2021/3/31 14:29:58","382","172511","1"
"15653","2021/3/31 14:29:58","382","157277","1"
"14061","2021/3/31 14:29:58","382","75477","2"
"13663","2021/3/31 14:29:58","382","75443","2"
"14857","2021/3/31 14:29:58","382","107636","2"
"14459","2021/3/31 14:29:58","382","78799","2"
"12071","2021/3/31 14:29:58","382","40547","2"
"12867","2021/3/31 14:29:58","382","75378","2"
"13265","2021/3/31 14:29:58","382","75442","2"
"12469","2021/3/31 14:29:58","382","63679","2"
"11673","2021/3/31 14:29:58","382","35344","2"
"196203","","384","160172","2"
"188760","","384","192153","2"
"189823","","384","137916","2"
"195143","","384","34078","2"
"191961","","384","208438","2"
"190901","","384","66533","2"
"193023","","384","66134","2"
"194083","","384","66052","2"
"196204","","413","160172","2"
"188761","","413","192153","2"
"189824","","413","137916","2"
"195144","","413","34078","2"
"191962","","413","208438","2"
"190902","","413","66533","2"
"193024","","413","66134","2"
"194084","","413","66052","2"
"196205","","420","160172","2"
"188762","","420","192153","2"
"189825","","420","137916","2"
"195145","","420","34078","2"
"191963","","420","208438","2"
"190903","","420","66533","2"
"193025","","420","66134","2"
"194085","","420","66052","2"
"196206","","460","160172","2"
"188763","","460","192153","2"
"189826","","460","137916","2"
"195146","","460","34078","2"
"191964","","460","208438","2"
"190904","","460","66533","2"
"193026","","460","66134","2"
"194086","","460","66052","2"
"196207","","477","160172","2"
"188764","","477","192153","2"
"189827","","477","137916","2"
"195147","","477","34078","2"
"191965","","477","208438","2"
"190905","","477","66533","2"
"193027","","477","66134","2"
"194087","","477","66052","2"
"196208","","478","160172","2"
"188765","","478","192153","2"
"189828","","478","137916","2"
"195148","","478","34078","2"
"191966","","478","208438","2"
"190906","","478","66533","2"
"16196","2021/3/31 14:29:58","478","172511","1"
"15798","2021/3/31 14:29:58","478","157277","1"
"15400","2021/3/31 14:29:58","478","137950","1"
"14206","2021/3/31 14:29:58","478","75477","2"
"13808","2021/3/31 14:29:58","478","75443","2"
"15002","2021/3/31 14:29:58","478","107636","2"
"14604","2021/3/31 14:29:58","478","78799","2"
"13012","2021/3/31 14:29:58","478","75378","2"
"12614","2021/3/31 14:29:58","478","63679","2"
"13410","2021/3/31 14:29:58","478","75442","2"
"12216","2021/3/31 14:29:58","478","40547","2"
"11818","2021/3/31 14:29:58","478","35344","2"
"193028","","478","66134","2"
"194088","","478","66052","2"
"196209","","490","160172","2"
"188766","","490","192153","2"
"189829","","490","137916","2"
"195149","","490","34078","2"
"187415","2022/10/19 10:48:05","490","","1"
"191967","","490","208438","2"
"190907","","490","66533","2"
"193029","","490","66134","2"
"194089","","490","66052","2"
"198734","2023/5/30 16:25:00","502","","2"
"187133","2022/10/19 10:48:05","502","","2"
"197270","","507","160172","2"
"198578","2023/5/30 16:25:00","507","","2"
"188767","","507","192153","2"
"191970","","507","137916","2"
"195150","","507","34078","2"
"187102","2022/10/19 10:48:05","507","","2"
"191968","","507","208438","2"
"190908","","507","66533","2"
"193030","","507","66134","2"
"194090","","507","66052","2"
"197271","","508","160172","2"
"198514","2023/5/30 16:25:00","508","","2"
"188768","","508","192153","2"
"191971","","508","137916","2"
"195151","","508","34078","2"
"187168","2022/10/19 10:48:05","508","","2"
"191969","","508","208438","2"
"190909","","508","66533","2"
"16195","2021/3/31 14:29:58","508","172511","1"
"15797","2021/3/31 14:29:58","508","157277","1"
"15399","2021/3/31 14:29:58","508","137950","1"
"14205","2021/3/31 14:29:58","508","75477","2"
"13807","2021/3/31 14:29:58","508","75443","2"
"15001","2021/3/31 14:29:58","508","107636","2"
"14603","2021/3/31 14:29:58","508","78799","2"
"13011","2021/3/31 14:29:58","508","75378","2"
"12613","2021/3/31 14:29:58","508","63679","2"
"13409","2021/3/31 14:29:58","508","75442","2"
"12215","2021/3/31 14:29:58","508","40547","2"
"11817","2021/3/31 14:29:58","508","35344","2"
"193031","","508","66134","2"
"194091","","508","66052","2"
"188493","2023/3/30 19:29:47","514","","2"
"15193","2021/3/31 14:29:58","517","137950","1"
"15989","2021/3/31 14:29:58","517","172511","1"
"15591","2021/3/31 14:29:58","517","157277","1"
"14397","2021/3/31 14:29:58","517","78799","2"
"13999","2021/3/31 14:29:58","517","75477","2"
"14795","2021/3/31 14:29:58","517","107636","2"
"12009","2021/3/31 14:29:58","517","40547","2"
"12805","2021/3/31 14:29:58","517","75378","2"
"13601","2021/3/31 14:29:58","517","75443","2"
"13203","2021/3/31 14:29:58","517","75442","2"
"12407","2021/3/31 14:29:58","517","63679","2"
"11611","2021/3/31 14:29:58","517","35344","2"
"197272","","518","160172","2"
"198428","2023/5/30 16:25:00","518","","2"
"188769","","518","192153","2"
"191972","","518","137916","2"
"195152","","518","34078","2"
"196210","","518","208438","2"
"190910","","518","66533","2"
"193032","","518","66134","2"
"194092","","518","66052","2"
"187651","2022/10/19 10:48:05","534","","2"
"15267","2021/3/31 14:29:58","551","137950","1"
"16063","2021/3/31 14:29:58","551","172511","1"
"15665","2021/3/31 14:29:58","551","157277","1"
"14073","2021/3/31 14:29:58","551","75477","2"
"13675","2021/3/31 14:29:58","551","75443","2"
"14869","2021/3/31 14:29:58","551","107636","2"
"14471","2021/3/31 14:29:58","551","78799","2"
"12083","2021/3/31 14:29:58","551","40547","2"
"12879","2021/3/31 14:29:58","551","75378","2"
"13277","2021/3/31 14:29:58","551","75442","2"
"12481","2021/3/31 14:29:58","551","63679","2"
"11685","2021/3/31 14:29:58","551","35344","2"
"197273","","581","160172","2"
"188770","","581","192153","2"
"191973","","581","137916","2"
"195153","","581","34078","2"
"196211","","581","208438","2"
"187652","2022/10/19 10:48:05","581","","2"
"190911","","581","66533","2"
"193033","","581","66134","2"
"194093","","581","66052","2"
"187653","2022/10/19 10:48:05","584","","2"
"197274","","586","160172","2"
"198723","2023/5/30 16:25:00","586","","2"
"188771","","586","192153","2"
"191974","","586","137916","2"
"195154","","586","34078","2"
"187159","2022/10/19 10:48:05","586","","2"
"196212","","586","208438","2"
"190912","","586","66533","2"
"16194","2021/3/31 14:29:58","586","172511","1"
"15796","2021/3/31 14:29:58","586","157277","1"
"15398","2021/3/31 14:29:58","586","137950","1"
"14204","2021/3/31 14:29:58","586","75477","1"
"13806","2021/3/31 14:29:58","586","75443","1"
"15000","2021/3/31 14:29:58","586","107636","2"
"14602","2021/3/31 14:29:58","586","78799","2"
"13010","2021/3/31 14:29:58","586","75378","2"
"12612","2021/3/31 14:29:58","586","63679","2"
"13408","2021/3/31 14:29:58","586","75442","2"
"12214","2021/3/31 14:29:58","586","40547","2"
"11816","2021/3/31 14:29:58","586","35344","2"
"193034","","586","66134","2"
"194094","","586","66052","2"
"198797","2023/5/30 16:25:00","588","","1"
"187654","2022/10/19 10:48:05","597","","2"
"197275","","599","160172","2"
"188772","","599","192153","2"
"191975","","599","137916","2"
"195155","","599","34078","2"
"196213","","599","208438","2"
"190913","","599","66533","2"
"193035","","599","66134","2"
"194095","","599","66052","2"
"198427","2023/5/30 16:25:00","630","","2"
"198704","2023/5/30 16:25:00","638","","2"
"187298","2022/10/19 10:48:05","638","","2"
"16193","2021/3/31 14:29:58","638","172511","1"
"15795","2021/3/31 14:29:58","638","157277","1"
"15397","2021/3/31 14:29:58","638","137950","1"
"14203","2021/3/31 14:29:58","638","75477","2"
"13805","2021/3/31 14:29:58","638","75443","2"
"14999","2021/3/31 14:29:58","638","107636","2"
"14601","2021/3/31 14:29:58","638","78799","2"
"13009","2021/3/31 14:29:58","638","75378","2"
"12611","2021/3/31 14:29:58","638","63679","2"
"13407","2021/3/31 14:29:58","638","75442","2"
"12213","2021/3/31 14:29:58","638","40547","2"
"11815","2021/3/31 14:29:58","638","35344","2"
"197276","","640","160172","2"
"188773","","640","192153","2"
"191976","","640","137916","2"
"195156","","640","34078","2"
"196214","","640","208438","2"
"187656","2022/10/19 10:48:05","640","","2"
"190914","","640","66533","2"
"16192","2021/3/31 14:29:58","640","172511","1"
"15794","2021/3/31 14:29:58","640","157277","1"
"15396","2021/3/31 14:29:58","640","137950","1"
"14202","2021/3/31 14:29:58","640","75477","2"
"13804","2021/3/31 14:29:58","640","75443","2"
"14998","2021/3/31 14:29:58","640","107636","2"
"14600","2021/3/31 14:29:58","640","78799","2"
"13008","2021/3/31 14:29:58","640","75378","2"
"12610","2021/3/31 14:29:58","640","63679","2"
"13406","2021/3/31 14:29:58","640","75442","2"
"12212","2021/3/31 14:29:58","640","40547","2"
"11814","2021/3/31 14:29:58","640","35344","2"
"193036","","640","66134","2"
"194096","","640","66052","2"
"187255","2022/10/19 10:48:05","641","","2"
"197277","","656","160172","2"
"188774","","656","192153","2"
"191977","","656","137916","2"
"195157","","656","34078","2"
"196215","","656","208438","2"
"187657","2022/10/19 10:48:05","656","","2"
"190915","","656","66533","2"
"15152","2021/3/31 14:29:58","656","137950","1"
"15948","2021/3/31 14:29:58","656","172511","1"
"15550","2021/3/31 14:29:58","656","157277","1"
"14356","2021/3/31 14:29:58","656","78799","2"
"13958","2021/3/31 14:29:58","656","75477","2"
"14754","2021/3/31 14:29:58","656","107636","2"
"11968","2021/3/31 14:29:58","656","40547","2"
"13162","2021/3/31 14:29:58","656","75442","2"
"12764","2021/3/31 14:29:58","656","75378","2"
"13560","2021/3/31 14:29:58","656","75443","2"
"12366","2021/3/31 14:29:58","656","63679","2"
"193037","","656","66134","2"
"194097","","656","66052","2"
"11570","2021/3/31 14:29:58","656","35344","2"
"197278","","675","160172","2"
"188775","","675","192153","2"
"191978","","675","137916","2"
"195158","","675","34078","2"
"187215","2022/10/19 10:48:05","675","","2"
"196216","","675","208438","2"
"190916","","675","66533","2"
"193038","","675","66134","2"
"194098","","675","66052","2"
"187618","2022/10/19 10:48:05","678","","2"
"187659","2022/10/19 10:48:05","679","","2"
"187660","2022/10/19 10:48:05","680","","2"
"197279","","682","160172","2"
"198708","2023/5/30 16:25:00","682","","2"
"188776","","682","192153","2"
"191979","","682","137916","2"
"195159","","682","34078","2"
"187585","2022/10/19 10:48:05","682","","2"
"196217","","682","208438","2"
"190917","","682","66533","2"
"16191","2021/3/31 14:29:58","682","172511","1"
"15793","2021/3/31 14:29:58","682","157277","1"
"15395","2021/3/31 14:29:58","682","137950","1"
"14201","2021/3/31 14:29:58","682","75477","2"
"13803","2021/3/31 14:29:58","682","75443","2"
"14997","2021/3/31 14:29:58","682","107636","2"
"14599","2021/3/31 14:29:58","682","78799","2"
"13007","2021/3/31 14:29:58","682","75378","2"
"12609","2021/3/31 14:29:58","682","63679","2"
"13405","2021/3/31 14:29:58","682","75442","2"
"12211","2021/3/31 14:29:58","682","40547","2"
"11813","2021/3/31 14:29:58","682","35344","2"
"193039","","682","66134","2"
"194099","","682","66052","2"
"197280","","683","160172","2"
"198618","2023/5/30 16:25:00","683","","2"
"188777","","683","192153","2"
"191980","","683","137916","2"
"195160","","683","34078","2"
"187150","2022/10/19 10:48:05","683","","2"
"196218","","683","208438","2"
"190918","","683","66533","2"
"193040","","683","66134","2"
"194100","","683","66052","2"
"198678","2023/5/30 16:25:00","686","","2"
"197281","","687","160172","2"
"188778","","687","192153","2"
"191981","","687","137916","2"
"195161","","687","34078","2"
"196219","","687","208438","2"
"190919","","687","66533","2"
"193041","","687","66134","2"
"194101","","687","66052","2"
"15207","2021/3/31 14:29:58","689","137950","1"
"16003","2021/3/31 14:29:58","689","172511","1"
"15605","2021/3/31 14:29:58","689","157277","1"
"14411","2021/3/31 14:29:58","689","78799","2"
"14013","2021/3/31 14:29:58","689","75477","2"
"13615","2021/3/31 14:29:58","689","75443","2"
"14809","2021/3/31 14:29:58","689","107636","2"
"12023","2021/3/31 14:29:58","689","40547","2"
"12819","2021/3/31 14:29:58","689","75378","2"
"13217","2021/3/31 14:29:58","689","75442","2"
"12421","2021/3/31 14:29:58","689","63679","2"
"11625","2021/3/31 14:29:58","689","35344","2"
"197282","","690","160172","2"
"198541","2023/5/30 16:25:00","690","","2"
"188779","","690","192153","2"
"191982","","690","137916","2"
"195162","","690","34078","2"
"187147","2022/10/19 10:48:05","690","","2"
"196220","","690","208438","2"
"190920","","690","66533","2"
"193042","","690","66134","2"
"194102","","690","66052","2"
"197283","","693","160172","2"
"198549","2023/5/30 16:25:00","693","","2"
"188780","","693","192153","2"
"191983","","693","137916","2"
"195163","","693","34078","2"
"196221","","693","208438","2"
"187662","2022/10/19 10:48:05","693","","2"
"190921","","693","66533","2"
"16190","2021/3/31 14:29:58","693","172511","1"
"15792","2021/3/31 14:29:58","693","157277","1"
"15394","2021/3/31 14:29:58","693","137950","1"
"14200","2021/3/31 14:29:58","693","75477","2"
"13802","2021/3/31 14:29:58","693","75443","2"
"14996","2021/3/31 14:29:58","693","107636","2"
"14598","2021/3/31 14:29:58","693","78799","2"
"13006","2021/3/31 14:29:58","693","75378","2"
"12608","2021/3/31 14:29:58","693","63679","2"
"13404","2021/3/31 14:29:58","693","75442","2"
"12210","2021/3/31 14:29:58","693","40547","2"
"11812","2021/3/31 14:29:58","693","35344","2"
"193043","","693","66134","2"
"194103","","693","66052","2"
"197284","","694","160172","2"
"198834","2023/5/30 16:25:00","694","","1"
"188781","","694","192153","2"
"191984","","694","137916","2"
"195164","","694","34078","2"
"187145","2022/10/19 10:48:05","694","","2"
"196222","","694","208438","2"
"190922","","694","66533","2"
"193044","","694","66134","2"
"194104","","694","66052","2"
"187157","2022/10/19 10:48:05","699","","2"
"187287","2022/10/19 10:48:05","700","","2"
"197285","","701","160172","2"
"188782","","701","192153","2"
"191985","","701","137916","2"
"195165","","701","34078","2"
"196223","","701","208438","2"
"190923","","701","66533","2"
"193045","","701","66134","2"
"194105","","701","66052","2"
"16255","2021/3/31 14:29:58","723","172511","1"
"15857","2021/3/31 14:29:58","723","157277","1"
"15459","2021/3/31 14:29:58","723","137950","1"
"14265","2021/3/31 14:29:58","723","75477","2"
"13867","2021/3/31 14:29:58","723","75443","2"
"15061","2021/3/31 14:29:58","723","107636","2"
"14663","2021/3/31 14:29:58","723","78799","2"
"13071","2021/3/31 14:29:58","723","75378","2"
"12673","2021/3/31 14:29:58","723","63679","2"
"13469","2021/3/31 14:29:58","723","75442","2"
"12275","2021/3/31 14:29:58","723","40547","2"
"11877","2021/3/31 14:29:58","723","35344","2"
"197286","","760","160172","2"
"198669","2023/5/30 16:25:00","760","","2"
"188783","","760","192153","2"
"191986","","760","137916","2"
"195166","","760","34078","2"
"196224","","760","208438","2"
"187663","2022/10/19 10:48:05","760","","2"
"190924","","760","66533","2"
"15151","2021/3/31 14:29:58","760","107636","2"
"15947","2021/3/31 14:29:58","760","157277","1"
"16345","2021/3/31 14:29:58","760","172511","1"
"15549","2021/3/31 14:29:58","760","137950","1"
"14355","2021/3/31 14:29:58","760","75477","2"
"13957","2021/3/31 14:29:58","760","75443","2"
"14753","2021/3/31 14:29:58","760","78799","2"
"11967","2021/3/31 14:29:58","760","35344","2"
"13161","2021/3/31 14:29:58","760","75378","2"
"12763","2021/3/31 14:29:58","760","63679","2"
"13559","2021/3/31 14:29:58","760","75442","2"
"12365","2021/3/31 14:29:58","760","40547","2"
"193046","","760","66134","2"
"194106","","760","66052","2"
"197287","","761","160172","2"
"198457","2023/5/30 16:25:00","761","","2"
"188784","","761","192153","2"
"191987","","761","137916","2"
"195167","","761","34078","2"
"187120","2022/10/19 10:48:05","761","","2"
"196225","","761","208438","2"
"190925","","761","66533","2"
"16189","2021/3/31 14:29:58","761","172511","1"
"15791","2021/3/31 14:29:58","761","157277","1"
"15393","2021/3/31 14:29:58","761","137950","1"
"14199","2021/3/31 14:29:58","761","75477","2"
"13801","2021/3/31 14:29:58","761","75443","2"
"14995","2021/3/31 14:29:58","761","107636","2"
"14597","2021/3/31 14:29:58","761","78799","2"
"13005","2021/3/31 14:29:58","761","75378","2"
"12607","2021/3/31 14:29:58","761","63679","2"
"13403","2021/3/31 14:29:58","761","75442","2"
"12209","2021/3/31 14:29:58","761","40547","2"
"11811","2021/3/31 14:29:58","761","35344","2"
"193047","","761","66134","2"
"194107","","761","66052","2"
"16188","2021/3/31 14:29:58","765","172511","1"
"15790","2021/3/31 14:29:58","765","157277","1"
"15392","2021/3/31 14:29:58","765","137950","1"
"14198","2021/3/31 14:29:58","765","75477","1"
"13800","2021/3/31 14:29:58","765","75443","1"
"14994","2021/3/31 14:29:58","765","107636","1"
"14596","2021/3/31 14:29:58","765","78799","1"
"13004","2021/3/31 14:29:58","765","75378","1"
"12606","2021/3/31 14:29:58","765","63679","1"
"13402","2021/3/31 14:29:58","765","75442","1"
"12208","2021/3/31 14:29:58","765","40547","1"
"11810","2021/3/31 14:29:58","765","35344","1"
"187664","2022/10/19 10:48:05","848","","2"
"187665","2022/10/19 10:48:05","854","","2"
"198551","2023/5/30 16:25:00","860","","2"
"197288","","863","160172","2"
"188785","","863","192153","2"
"191988","","863","137916","2"
"195168","","863","34078","2"
"196226","","863","208438","2"
"190926","","863","66533","2"
"193048","","863","66134","2"
"194108","","863","66052","2"
"197289","","880","160172","2"
"188786","","880","192153","2"
"191989","","880","137916","2"
"195169","","880","34078","2"
"196227","","880","208438","2"
"190927","","880","66533","2"
"193049","","880","66134","2"
"194109","","880","66052","2"
"197290","","882","160172","2"
"198777","2023/5/30 16:25:00","882","","1"
"188787","","882","192153","2"
"191990","","882","137916","2"
"195170","","882","34078","2"
"196228","","882","208438","2"
"187666","2022/10/19 10:48:05","882","","2"
"190928","","882","66533","2"
"15266","2021/3/31 14:29:58","882","137950","1"
"16062","2021/3/31 14:29:58","882","172511","1"
"15664","2021/3/31 14:29:58","882","157277","1"
"14072","2021/3/31 14:29:58","882","75477","2"
"13674","2021/3/31 14:29:58","882","75443","2"
"14868","2021/3/31 14:29:58","882","107636","2"
"14470","2021/3/31 14:29:58","882","78799","2"
"12082","2021/3/31 14:29:58","882","40547","2"
"12878","2021/3/31 14:29:58","882","75378","2"
"13276","2021/3/31 14:29:58","882","75442","2"
"12480","2021/3/31 14:29:58","882","63679","2"
"11684","2021/3/31 14:29:58","882","35344","2"
"193050","","882","66134","2"
"194110","","882","66052","2"
"198033","","985","160172","2"
"189530","","985","192153","2"
"192733","","985","137916","2"
"195913","","985","34078","2"
"196971","","985","208438","2"
"191671","","985","66533","2"
"193793","","985","66134","2"
"194853","","985","66052","2"
"187254","2022/10/19 10:48:05","989","","2"
"198880","2023/6/30 15:29:52","990","","1"
"198539","2023/5/30 16:25:00","991","","2"
"188494","2023/3/30 19:29:56","991","","2"
"187470","2022/10/19 10:48:05","994","","2"
"197291","","995","160172","2"
"198552","2023/5/30 16:25:00","995","","2"
"188788","","995","192153","2"
"191991","","995","137916","2"
"195171","","995","34078","2"
"196229","","995","208438","2"
"187667","2022/10/19 10:48:05","995","","2"
"190929","","995","66533","2"
"15237","2021/3/31 14:29:58","995","137950","1"
"16033","2021/3/31 14:29:58","995","172511","1"
"15635","2021/3/31 14:29:58","995","157277","1"
"14043","2021/3/31 14:29:58","995","75477","2"
"13645","2021/3/31 14:29:58","995","75443","2"
"14839","2021/3/31 14:29:58","995","107636","2"
"14441","2021/3/31 14:29:58","995","78799","2"
"12053","2021/3/31 14:29:58","995","40547","2"
"12849","2021/3/31 14:29:58","995","75378","2"
"13247","2021/3/31 14:29:58","995","75442","2"
"12451","2021/3/31 14:29:58","995","63679","2"
"193051","","995","66134","2"
"194111","","995","66052","2"
"11655","2021/3/31 14:29:58","995","35344","2"
"197292","","996","160172","2"
"198482","2023/5/30 16:25:00","996","","2"
"188789","","996","192153","2"
"191992","","996","137916","2"
"195172","","996","34078","2"
"196230","","996","208438","2"
"187668","2022/10/19 10:48:05","996","","2"
"190930","","996","66533","2"
"193052","","996","66134","2"
"194112","","996","66052","2"
"198585","2023/5/30 16:25:00","1007","","2"
"187669","2022/10/19 10:48:05","1007","","2"
"198527","2023/5/30 16:25:00","1010","","2"
"197293","","1039","160172","2"
"188790","","1039","192153","2"
"191993","","1039","137916","2"
"195173","","1039","34078","2"
"196231","","1039","208438","2"
"187670","2022/10/19 10:48:05","1039","","2"
"190931","","1039","66533","2"
"193053","","1039","66134","2"
"194113","","1039","66052","2"
"187671","2022/10/19 10:48:05","1156","","2"
"197294","","1168","160172","2"
"188791","","1168","192153","2"
"191994","","1168","137916","2"
"195174","","1168","34078","2"
"196232","","1168","208438","2"
"190932","","1168","66533","2"
"193054","","1168","66134","2"
"194114","","1168","66052","2"
"197295","","1169","160172","2"
"198695","2023/5/30 16:25:00","1169","","2"
"188792","","1169","192153","2"
"191995","","1169","137916","2"
"195175","","1169","34078","2"
"187357","2022/10/19 10:48:05","1169","","2"
"196233","","1169","208438","2"
"190933","","1169","66533","2"
"193055","","1169","66134","2"
"194115","","1169","66052","2"
"198847","2023/5/30 16:25:00","1216","","1"
"197296","","1217","160172","2"
"188793","","1217","192153","2"
"191996","","1217","137916","2"
"195176","","1217","34078","2"
"196234","","1217","208438","2"
"190934","","1217","66533","2"
"193056","","1217","66134","2"
"194116","","1217","66052","2"
"197297","","1235","160172","2"
"198563","2023/5/30 16:25:00","1235","","2"
"188794","","1235","192153","2"
"191997","","1235","137916","2"
"195177","","1235","34078","2"
"187484","2022/10/19 10:48:05","1235","","2"
"196235","","1235","208438","2"
"190935","","1235","66533","2"
"193057","","1235","66134","2"
"194117","","1235","66052","2"
"198735","2023/5/30 16:25:00","1251","","2"
"187673","2022/10/19 10:48:05","1304","","2"
